评论ID,微博ID,微博内容,评论用户,评论内容,评论时间,记录时间
5225624234885993,5225330072880926,aespa  柳智敏 nike北京线下大屏地广 aeTempura的微博视频 ,祎只珉珉,太争气了我宝宝,2025-10-25 13:16:07,2025-10-26 16:03:10
5225582716781025,5225330072880926,aespa  柳智敏 nike北京线下大屏地广 aeTempura的微博视频 ,珞珈珈子,爱讲的大地广又来了,2025-10-25 10:31:09,2025-10-26 16:03:10
5225463574168285,5225330072880926,aespa  柳智敏 nike北京线下大屏地广 aeTempura的微博视频 ,一口吃掉橘子呀,今天虎牙直播开屏，目前我刷到好几个软件买了开屏,2025-10-25 02:37:43,2025-10-26 16:03:10
5224936063893638,5216746107306143,泰元满了 近日，韩国女团成员柳智敏与演员李宰旭的cp粉带着“柳宰很忙99”应援词登上那艺娜演唱会大屏柳宰就是走到哪里都会有cp粉的应援，不愧是出圈大势cp！❤️ #柳宰很忙# #柳智敏我的英雄学院# ,元元月_,99,2025-10-23 15:41:34,2025-10-26 16:03:18
5224060977153241,5223146682845819,柳智敏  251018 Aichi大屏也美 ,什么时候继续供应枫糖浆,柳智敏,2025-10-21 05:44:18,2025-10-26 16:03:24
5224013333005057,5222892297782219,柳智敏 #柳智敏# 《UP》现已超越泰/妍的《four seasons》（372 天），成为 SM 艺人在 Melon 日榜上上榜时间第二长的solo曲（373 天）。— UP 自发布以来373 天后仍然位居 MelonTop100 榜单 ,紫羅蘭與世長存,#柳智敏top不设限# ,2025-10-21 02:34:59,2025-10-26 16:00:56
5223946833366390,5223146682845819,柳智敏  251018 Aichi大屏也美 ,你柚不敢,柳智敏,2025-10-20 22:10:44,2025-10-26 16:03:24
5223910716997947,5222892297782219,柳智敏 #柳智敏# 《UP》现已超越泰/妍的《four seasons》（372 天），成为 SM 艺人在 Melon 日榜上上榜时间第二长的solo曲（373 天）。— UP 自发布以来373 天后仍然位居 MelonTop100 榜单 ,核爆酱粼子,好厉害,2025-10-20 19:47:12,2025-10-26 16:00:56
5223908217458521,5223146682845819,柳智敏  251018 Aichi大屏也美 ,雨珂珉安,柳智敏,2025-10-20 19:37:17,2025-10-26 16:03:24
5223902737596691,5223146682845819,柳智敏  251018 Aichi大屏也美 ,A7411_,柳智敏,2025-10-20 19:15:30,2025-10-26 16:03:24
5223863277587488,5223146682845819,柳智敏  251018 Aichi大屏也美 ,蓝莓熏熏,啊啊啊啊啊啊啊啊啊,2025-10-20 16:38:43,2025-10-26 16:03:24
