微博ID,关键字,微博内容,图片链接,发布时间,数据来源,发布者,转发数,评论数,点赞数,记录时间
5225330072880926,柳智敏大屏,aespa  柳智敏 nike北京线下大屏地广 aeTempura的微博视频 ,,2025-10-24 17:47:14,新浪微博移动端,aeTempura,0,7,231,2025-10-26 16:03:10
5223150793261786,柳智敏直拍,点进就来看五永一神级直拍#柳智敏# 吒神顏的微博视频 ,,2025-10-18 17:27:32,新浪微博移动端,吒神顏,3,60,468,2025-10-26 16:01:47
5223146682845819,柳智敏大屏,柳智敏  251018 Aichi大屏也美 ,https://wx1.sinaimg.cn/large/005KdGgygy1i6gn80zxntj32w63uwnpe.jpg,2025-10-18 17:11:13,新浪微博移动端,Wxy-SwaggyK,18,17,356,2025-10-26 16:03:23
5222892297782219,柳智敏solo,柳智敏 #柳智敏# 《UP》现已超越泰/妍的《four seasons》（372 天），成为 SM 艺人在 Melon 日榜上上榜时间第二长的solo曲（373 天）。— UP 自发布以来373 天后仍然位居 MelonTop100 榜单 ,"https://wx1.sinaimg.cn/large/0086UN4mgy1i6fu085op4j30u0146gpu.jpg,https://wx1.sinaimg.cn/large/0086UN4mgy1i6fu08imr9j30qo13e43a.jpg",2025-10-18 00:20:23,新浪微博移动端,勇敢的土豆Karina,37,54,1431,2025-10-26 16:00:56
5222419623314362,柳智敏solo,2025年MAMA最佳女Solo表演：多荣、Minnie、Jennie、金智秀、柳智敏#MAMA提名名单# ,https://wx1.sinaimg.cn/large/008yBmqKgy1i6ebpz9ud7j31kw0vcaf7.jpg,2025-10-16 17:02:09,新浪微博移动端,泡菜搬运工,207,196,7268,2025-10-26 16:01:12
5221043721212101,柳智敏大屏,推热转的柳智敏封神大屏美貌，美得不像真人 ,https://wx1.sinaimg.cn/large/0067sxldgy1i69xp7uutlj30uo1kwdl0.jpg,2025-10-12 21:54:48,新浪微博移动端,钮祜禄流流,207,1747,18339,2025-10-26 16:03:03
5220624427647184,柳智敏直拍,251011 Zoom Zoom #柳智敏# ©️still 水原一枝花的微博视频 ,,2025-10-11 18:08:40,新浪微博移动端,水原一枝花,29,6,403,2025-10-26 16:01:53
5217337004524655,柳智敏solo,#柳智敏# solo3好帅#lisa# 不停就继续 札幌珉恋的微博视频 ,,2025-10-02 16:25:38,新浪微博移动端,札幌珉恋,19,358,1181,2025-10-26 16:01:02
5217080597285999,柳智敏直拍,#柳智敏# 直拍好美#lisa# 和三公子连体观看中 札幌珉恋的微博视频 ,,2025-10-01 23:26:46,新浪微博移动端,札幌珉恋,12,129,575,2025-10-26 16:02:00
5216746107306143,柳智敏大屏,泰元满了 近日，韩国女团成员柳智敏与演员李宰旭的cp粉带着“柳宰很忙99”应援词登上那艺娜演唱会大屏柳宰就是走到哪里都会有cp粉的应援，不愧是出圈大势cp！❤️ #柳宰很忙# #柳智敏我的英雄学院# ,"https://wx1.sinaimg.cn/large/008yKJKggy1i5w9apka1kj30l40qpaev.jpg,https://wx1.sinaimg.cn/large/008yKJKggy1i5wboqesjdj30m80reabj.jpg,https://wx1.sinaimg.cn/large/008yKJKggy1i5wboq1177j30xi0iagoa.jpg,https://wx1.sinaimg.cn/large/008yKJKggy1i5wcciobk9j30rt0qo777.jpg,https://wx1.sinaimg.cn/large/008yKJKggy1i5w83avcvkj30xi184tf5.jpg,https://wx1.sinaimg.cn/large/008yKJKggy1i5wccj03kgj30k00f20tc.jpg,https://wx1.sinaimg.cn/large/008yKJKggy1i5wccjbo70j30qo1bj79i.jpg,https://wx1.sinaimg.cn/large/008yKJKggy1i5wccjqqt7j30mm0zkju5.jpg,https://wx1.sinaimg.cn/large/008yKJKggy1i5wcck336bj30k00qh3zy.jpg",2025-10-01 01:17:36,新浪微博移动端,攀枝花甜妞儿,16,290,2979,2025-10-26 16:03:17
5210421952778370,柳智敏solo,#柳智敏# 非正式solo大火 #张元英# 继续转圈 柳智敏 aeTempura的微博视频  ,,2025-09-13 14:27:41,新浪微博移动端,aeTempura,32,428,3471,2025-10-26 16:01:26
5210421713962920,柳智敏solo,#柳智敏#   非正式solo曲很出圈，不像某人喜欢模仿网红                  #张元英# 蓝墨色光晕的微博视频  ,,2025-09-13 14:26:44,新浪微博移动端,蓝墨色光晕,48,272,4367,2025-10-26 16:01:18
5206461653190321,柳智敏good stuff,柳智敏 柳智敏丨250829-0831 SYNK : AEXIS LINE 2025 - Good Stuff 直拍 notes0411的微博视频 ,,2025-09-02 16:10:52,新浪微博移动端,notes0411,415,87,1568,2025-10-26 16:02:31
5205413001694501,柳智敏good stuff,很适合舞蹈challenge的柳智敏新Solo曲《GOOD STUFF》✨ 顶级神颜的微博视频 ,,2025-08-30 18:43:54,新浪微博移动端,顶级神颜,251,98,4124,2025-10-26 16:02:39
5205116413283015,柳智敏good stuff,250829 aespa KARINA - Good Stuff 直拍 🤍#柳智敏solo舞台#. #aespa三巡# . 告白預行絵本的微博视频 ,,2025-08-29 23:05:22,新浪微博移动端,告白預行絵本,764,269,6076,2025-10-26 16:02:25
